Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
N Kanthaswamy,,Adarsh Kalamandir,,PK Madhavan Nair,,,Nagavally RS Kurup,P Ramdas,,KD George,"Traditional, Irayimman Thampi, KC Poonkunnam",,Newspaper Boy (1955),,"A Ramachandran, A Vijayan",,N Subramanian,P Ramdas,,"Kamukara, P Gangadharan Nair, Santha P Nair, Shyamala, TA Lakshmi, TS Kumaresh, A Ramachandran, A Vijayan",,1955-05-13,P Ramdas,"['P Gangadharan Nair', 'TR Omana', 'Nagavally RS Kurup', 'Adoor Pankajam', 'Baby Usha', 'Chandni (NR Thankam)', 'Madhuri (old)', 'Master Moni', 'Master Narendran', 'Neyyaattinkara Komalam', 'Snehalatha', 'Veeran', 'Venkiteswaran', 'Miss Omana (NJ Mary)']"
MV Kochaappu,,Merryland,,Balasubramaniam,,,KP Kottarakkara,GR Rao,,MK Ramani,Abhayadev,,Aathmaarpanam (1956),,V Dakshinamoorthy,,,KP Kottarakkara,,"P Leela, AM Raja, Jikki (PG Krishnaveni), Soolamangalam Rajalakshmi, TS Kumaresh",,1956-03-23,,"['Thikkurissi Sukumaran Nair', 'TS Muthaiah', 'Ali Khan', 'BS Saroja', 'Bahadoor', 'Chandni (NR Thankam)', 'Damodaran', 'Husain Khan', 'Kottarakkara Sreedharan Nair', 'Thiruvananthapuram Kuttan Pillai', 'Masood', 'Prem Nazir', 'Muttathara Soman', 'SP Pillai', 'SS Anandan', 'Sreedharan', 'Vijayam']"
,,Prasanna Pictures,,PB Mani,,,"Muthukulam Raghavan Pilla, KP Kottarakkara",N Sankaran Nair,,KD George,"Vayalar, Pala Narayanan Nair",,Avarunarunnu (1956),,V Dakshinamoorthy,,G Govindapillai,Muthukulam Raghavan Pilla,Merryland Studio,"Kamukara, AM Raja, Jikki (PG Krishnaveni), Lalitha Thampi (R Lalitha), LPR Varma, Shyamala, TV Rathnam, Sarada",,1956-11-16,Muthukulam Raghavan Pilla,"['Sathyan', 'Miss Kumari', 'Prem Nazir']"
,,Neela Productions,,NS Mani,,,Nagavally RS Kurup,P Subramaniam,Kumaraswamy & Co,KD George,Thirunayinaarkurichi Madhavan Nair,,Manthravaadi (1956),,Br Lakshmanan,,P Subramaniam,,,"P Leela, Kamukara, AP Komala, CS Radhadevi, Guruvayoor Ponnamma, Jikki (PG Krishnaveni), TS Kumaresh",,1956-08-18,Nagavally RS Kurup,"['Prem Nazir', 'Miss Kumari']"
RBS Mani,,Chandrathara Productions,,BJ Reddy,,,Uroob,P Bhaskaran,,TR Sreenivasalu,P Bhaskaran,,Raarichan Enna Pauran (1956),,K Raghavan,,TK Pareekutty,Uroob,,"P Leela, K Raghavan, Cochin Abdul Khader, Gayathri Sreekrishnan, Mehboob, Santha P Nair",,1956-10-02,Uroob,"['Prema', 'KP Ummer', 'PA Latheef']"
,,Kadeeja Productions,,HS Venu,,,Ponjikkara Rafi,JD Thottan,,MS Mani,"Vayalar, Swathi Thirunal",,Koodappirappu (1956),,K Raghavan,,Rasheed,Ponjikkara Rafi,,"K Raghavan, AM Raja, ML Vasanthakumari, Santha P Nair",,1956-10-19,Muthukulam Raghavan Pilla,"['TS Muthaiah', 'Prem Navas', 'Ambika Sukumaran']"
,,Munna's Films,,,,,Thikkurissi Sukumaran Nair,MKR Nambiar,,,Thikkurissi Sukumaran Nair,,Deva Sundari (1957),,TR Pappa,,HM Munnas,,,"P Leela, AP Komala, Kameswara Rao",,1957-12-25,Sreemathi Munnas,"['Prem Nazir', 'Sathyan', 'Jose Prakash', 'TS Muthaiah', 'Vijayan (Old)', 'Adoor Pankajam', 'GK Pillai', 'Kumari Thankam', 'SP Pillai', 'Johnson']"
,,Pakshiraja Films,,,,,Kedamangalam Sadanandan,Shri Ramulu Naidu,,G Veluswami,"Abhayadev, Rajendra Krishnan",,Thaskaraveeran (1957),,"SM Subbaiah Naidu, C Ramachandra",,Shri Ramulu Naidu,,,"P Leela, PB Sreenivas, Jamuna Rani, Lata Mangeshkar, ML Vasanthakumari, Santha P Nair, Soolamangalam Rajalakshmi, SP Pillai",,1957-11-29,T Ramalingam Pillai,"['Sathyan', 'Ragini']"
,,,,BJ Reddy,,,KSK Thalikkulam,Ramu Kariyat,,KV Padmanabhan,P Bhaskaran,,Minnaminungu (1957),,"MS Baburaj, D Hassan",,Ramu Kariyat,Ponjikkara Rafi,,"Machad Vasanthi, Meena Sulochana, Mehboob, Santha P Nair, Kozhikode Abdul Khader",,1957-05-24,"Ramu Kariyat, Ponjikkara Rafi","['Vasudev Cheruvari', 'Padmam Menon', 'Damayanthi', 'Eddy Master']"
,,Neela Productions,,NS Mani,,,Muttathu Varkey,P Subramaniam,,KD George,Thirunayinaarkurichi Madhavan Nair,,Jailppulli (1957),,Br Lakshmanan,,P Subramaniam,Muttathu Varkey,,"P Leela, Kamukara, CS Radhadevi, Janamma David, Jikki (PG Krishnaveni), P Gangadharan Nair, Santha P Nair, TS Kumaresh",,1957-03-10,Muttathu Varkey,"['Prem Nazir', 'PK Kamalakshi', 'TS Muthaiah', 'Bahadoor', 'Kottarakkara Sreedharan Nair', 'Thiruvananthapuram Kuttan Pillai', 'Miss Kumari', 'KV Santhi', 'Chengannur Janaki']"
Jayavanth,,Padma Pictures,,Vasudev Karnataki,,,Jagathy NK Achari,Vimal Kumar,,A Appu,"P Bhaskaran, Thirunayinaarkurichi Madhavan Nair, Thirunelloor Karunakaran",,Achanum Makanum (1957),,Vimal Kumar,,,Jagathy NK Achari,,"AM Raja, Jikki (PG Krishnaveni), K Rani, Santha P Nair, Shyamala, Stella Varghese",,1957-04-26,Jagathy NK Achari,"['Kunjikkuttan', 'Thiruvananthapuram Kuttan Pillai', 'Kumari Thankam', 'Kalaikkal Kumaran', 'Gopi', 'TS Muthaiah', 'Sathyan', 'GK Pillai', 'BS Saroja', 'Bahadoor', 'Abraham Joseph', 'Anayara MP', 'Jagathy Sreekumar', 'Muthukulam Raghavan Pilla', 'SP Pillai', 'KV Santhi', 'Thikkurissi Sukumaran Nair']"
,,Kerala Arts,,P Balasubramaniam,,,KP Kottarakkara,R Velappan Nair,,,PN Dev,,Minnunnathellaam Ponnalla (1957),,SN Chaami (SN Ranganathan),,PK Sathyapal,KP Kottarakkara,,"S Janaki, P Leela, PB Sreenivas, MB Sreenivasan, Janamma David, Kumari Thankam",,In progress,KP Kottarakkara,"['Sando Krishnan', 'Kumari Thankam', 'GK Pillai', 'Adoor Pankajam', 'PK Sathyapal', 'Sathyan', 'KV Santhi']"
MV Kochaappu,,Neela Productions,,NS Mani,K Narayanan,,Muttathu Varkey,P Subramaniam,"Jaya Films, Kumaraswamy & Co",KD George,Thirunayinaarkurichi Madhavan Nair,,Paadaatha Painkili (1957),,Br Lakshmanan,,P Subramaniam,,,"Kamukara, CS Radhadevi, P Gangadharan Nair, Santha P Nair",Krishna Ilamon,1957-03-22,Muttathu Varkey,"['Prem Nazir', 'Miss Kumari']"
,,Neela Productions,,NS Mani,,,Thakazhi Sivasankarapillai,P Subramaniam,,KD George,Thirunayinaarkurichi Madhavan Nair,,Randidangazhi (1958),,"Br Lakshmanan, Trichur P Radhakrishnan",,P Subramaniam,,,"Kamukara, CS Radhadevi, KPAC Sulochana, Meena Sulochana",Krishna Ilamon,1958-08-24,Thakazhi Sivasankarapillai,"['PJ Antony', 'Miss Kumari']"
,,HT Pictures,,,,,Stanley (Old),F Nagoor,,,P Bhaskaran,,Lilly (1958),,"MS Viswanathan, TK Ramamoorthy",,Stanley (Old),,,"P Leela, AL Raghavan, GK Venkitesh, Mehboob, Pattom Sadan, Renuka, Santha P Nair, TS Kumaresh",,1958-12-25,Jimmy,"['KV Santhi', 'BS Saroja', 'Sathyan', 'Prem Nazir']"
MV Kochaappu,,Neela Productions,,NS Mani,K Narayanan,,Muttathu Varkey,P Subramaniam,Kumaraswamy & Co,KD George,Thirunayinaarkurichi Madhavan Nair,,Mariakkutty (1958),,Br Lakshmanan,,P Subramaniam,Muttathu Varkey,,"P Leela, Kamukara, CS Radhadevi, Kaviyoor CK Revamma, P Gangadharan Nair, Santha P Nair, Shyamala, V Lakshmi",Krishna Ilamon,1958-03-15,Muttathu Varkey,"['Prem Nazir', 'Miss Kumari']"
,KV Mahadevan,Associated Producers,,U Rajagopal,,,,P Bhaskaran,,MS Mani,P Bhaskaran,,Nairu Pidicha Pulivaalu (1958),,K Raghavan,,TE Vasudevan,,,"P Leela, K Raghavan, KP Udayabhanu, Mehboob",,1958-02-14,Uroob,"['Sathyan', 'Ragini']"
,,JJ Arts,,ENC Nair,,,"Muthukulam Raghavan Pilla, Ponkunnam Varkey",JD Thottan,,MS Mani,Vayalar,,Chathurangam (1959),,G Devarajan,,"JD Thottan, Dr GT Joshwa","Muthukulam Raghavan Pilla, Ponkunnam Varkey",,"G Devarajan, Chorus, KPAC Sulochana, KS George, ML Vasanthakumari, Pattom Sadan, Santha P Nair, TS Kumaresh, Vasantha Gopalakrishnan",,1959-10-09,"JD Thottan, Dr GT Joshwa","['Padmini Priyadarshini', 'Prem Nazir']"
,,Evershine,,PK Madhavan Nair,,,Muthukulam Raghavan Pilla,G Viswanath,,G Viswanath,"P Bhaskaran, Abhayadev, Vanakkutty",,Minnalppadayaali (1959),,"PS Divakar, SN Chaami (SN Ranganathan)",,Thiruppathi Chettiyar,Muthukulam Raghavan Pilla,,"S Janaki, PB Sreenivas, AM Raja, AP Komala, Kumaresan, Mydhili, Santha P Nair",,1959-04-25,Muthukulam Raghavan Pilla,"['Thiruvananthapuram Lalitha', 'Sathyan', 'Padmini Priyadarshini']"
,,Chandrathara Productions,,UKB Mani,,,NN Pisharady,S Ramanathan,,G Venkittaraman,P Bhaskaran,,Naadodikal (1959),,V Dakshinamoorthy,,TK Pareekutty,S Ramanathan,,"P Leela, PB Sreenivas, AP Komala, Jikki (PG Krishnaveni), Mehboob, Punitha, Kamala",,1959-11-09,S Ramanathan,"['Ambika Sukumaran', 'Prem Navas']"
MV Kochaappu,,Neela Productions,,NS Mani,,,Thikkurissi Sukumaran Nair,P Subramaniam,Kumaraswamy & Co,KD George,Thirunayinaarkurichi Madhavan Nair,,Aana Valarthiya Vaanampaadi (1959),,Br Lakshmanan,,P Subramaniam,Thikkurissi Sukumaran Nair,,"P Leela, PB Sreenivas, AM Raja, Jamuna Rani, T Lokanathan",,1960-02-18,Neela,"['KV Santhi', 'SP Pillai', 'SD Subbalakshmi', 'Miss Kumari', 'MN Nambiar', 'Friend Ramaswamy', 'Vanakkutty', 'D Balasubramaniam', 'CK Saraswathi', 'Adoor Pankajam', 'Bahadoor', 'Thikkurissi Sukumaran Nair', 'Sreeram']"
MV Kochaappu,,Neela Productions,,,,,Muttathu Varkey,P Subramaniam,,KD George,Thirunayinaarkurichi Madhavan Nair,,Poothaali (1960),,Br Lakshmanan,,P Subramaniam,Muttathu Varkey,,"P Leela, Kamukara, CS Radhadevi, Subhadra",,1960-03-09,Muttathu Varkey,"['Miss Kumari', 'TK Balachandran']"
,,Udaya,,Kotnis,,,Sasikumar,M Kunchacko,,"Mrs. Rajagopal, R Rajagopal",Abhayadev,,Seetha (1960),,V Dakshinamoorthy,,M Kunchacko,Sasikumar,,"V Dakshinamoorthy, S Janaki, P Susheela, PB Sreenivas, AM Raja, Jikki (PG Krishnaveni), ML Vasanthakumari, Punitha",,1960-03-09,Mythology,"['Prem Nazir', 'Kushalakumari']"
,,Excel Productions,,TN Krishnankutty Nair,,,Sarangapani,M Kunchacko,Excel Release,S Williams,P Bhaskaran,K Velappan,Umma (1960),,MS Baburaj,,M Kunchacko,Sarangapani,,"P Leela, PB Sreenivas, MS Baburaj, AM Raja, Jikki (PG Krishnaveni), Mehboob",,1960-03-29,Moithu Padiyathu,"['Rajamma', 'Mavelikkara L Ponnamma', 'Boban Kunchacko', 'BS Saroja', 'Bahadoor', 'Changanassery Thankam', 'KP Ummer', 'Kanchana (Old)', 'Krishnakumari', 'Nirmala Devi', 'PB Pillai', 'Pushpam', 'Rajakumari Venu', 'Thikkurissi Sukumaran Nair', 'SJ Dev', 'SP Pillai', 'Sadanandan', 'TV Mathew', 'Alex (Old)']"
,,T&T Productions,,ENC Nair,,,Jagathy NK Achari,JD Thottan,,TR Sreenivasalu,"P Bhaskaran, Irayimman Thampi, Jayadevar",,Sthreehrudayam (1960),,LPR Varma,,,Jagathy NK Achari,,"AM Raja, Jikki (PG Krishnaveni), LPR Varma, Shanta, Thripura Sundari",,1960-03-12,JD Thottan,"['Pappukutty Bhagavathar', 'TS Muthaiah', 'Prem Navas', 'Ambika Sukumaran', 'Chandni (NR Thankam)', 'Kochappan', 'Kottarakkara Sreedharan Nair', 'Sree Narayana Pillai']"
,,Excel Productions,,TN Krishnankutty Nair,,,Sarangapani,M Kunchacko,,,"P Bhaskaran, Kannan Pareekkutty",,Neelisaali (1960),,K Raghavan,,M Kunchacko,Sarangapani,,"PB Sreenivas, K Raghavan, AM Raja, AP Komala, Chorus, Mehboob, Seerkazhi Govindarajan",,1960-12-23,,"['Kundara Bhasi', 'Kanchana (Old)', 'SJ Dev', 'Boban Kunchacko', 'Bahadoor', 'SP Pillai', 'Vilasini']"
,,,,,,,,NT Rama Rao,,,,,Seethaaraama Kalyanam (1961),,,,,,,,,In progress,,[]
JJ Miranda,,Udaya,,TN Krishnankutty Nair,,,Sarangapani,M Kunchacko,,S Williams,"P Bhaskaran, Sarangapani",K Velappan,Unniyaarcha (1961),,K Raghavan,,M Kunchacko,Sarangapani,,"S Janaki, P Susheela, P Leela, PB Sreenivas, K Raghavan, AM Raja, Mehboob",,1961-08-24,Vadakkan Pattu,"['Prem Nazir', 'Sathyan', 'Ragini']"
S Konnannattu,,Chandrathara Productions,,A Vincent,,,Thoppil Bhasi,Ramu Kariyat,Chandrathara Release,G Venkittaraman,"P Bhaskaran, G Sankara Kurup",,Mudiyanaaya Puthran (1961),,MS Baburaj,,TK Pareekutty,Thoppil Bhasi,,"P Leela, Kaviyoor CK Revamma, KP Udayabhanu, KS George, Mehboob, Santha P Nair",,1961-12-22,Thoppil Bhasi,"['Sathyan', 'Miss Kumari', 'Ambika Sukumaran']"
,,Neela Productions,,NS Mani,,,Nagavally RS Kurup,P Subramaniam,,KD George,"Thirunayinaarkurichi Madhavan Nair, Traditional",,Bhakthakuchela (1961),,Br Lakshmanan,,P Subramaniam,Nagavally RS Kurup,,"P Leela, Kamukara, AP Komala, CS Radhadevi, Jikki (PG Krishnaveni), Soolamangalam Rajalakshmi",Krishna Ilamon,1961-09-11,Mythology,"['Thikkurissi Sukumaran Nair', 'Ambika Sukumaran', 'Miss Kumari']"
A Balu,,Seva Films,,Thambu,,SA Nair,Kedamangalam Sadanandan,K Shankar,,K Narayanan,Kedamangalam Sadanandan,,Arappavan (1961),,"GK Venkitesh, PS Divakar",,K Kumar,Kedamangalam Sadanandan,,"P Leela, PB Sreenivas, AP Komala, KPAC Sulochana, Kedamangalam Sadanandan, Pattom Sadan",,1961-08-24,Kedamangalam Sadanandan,['Sathyan']
,,Neela Productions,,NS Mani,,,Muttathu Varkey,P Subramaniam,,KD George,P Bhaskaran,,Christmas Raathri (1961),,Br Lakshmanan,,P Subramaniam,TN Gopinathan Nair,,"P Leela, PB Sreenivas, Kamukara, AP Komala, Chorus, TS Kumaresh",,In progress,Muttathu Varkey,"['Muttathara Soman', 'Adoor Pankajam', 'Adoor Ponnamma', 'Ambika Sukumaran', 'Bahadoor', 'Kannamma', 'Kottarakkara Sreedharan Nair', 'Miss Kumari', 'N Govindankutty', 'Thikkurissi Sukumaran Nair', 'Pankajavalli', 'Paravoor Bharathan', 'SA Fareed', 'SP Pillai', 'TK Balachandran']"
RBS Mani,RK Sekhar,Associated Producers,,"Adi M Irani, Melli Irani",,,Muttathu Varkey,KS Sethumadhavan,"Associated Pictures, Filmco Productions",MS Mani,Abhayadev,,Jnaanasundari (1961),,V Dakshinamoorthy,,TE Vasudevan,Muttathu Varkey,,"V Dakshinamoorthy, P Leela, PB Sreenivas, Kamukara, Kottayam Santha",,1961-12-22,Muttathu Varkey,"['Prem Nazir', 'L Vijayalakshmi ']"
PP Das,,Oriental Movies,,ENC Nair,,,Jagathy NK Achari,G Viswanath,Associated Pictures,"G Viswanath, Sankar, Veerappan","P Bhaskaran, V Dakshinamoorthy, Abhayadev, Kedamangalam Sadanandan, P Gangadharan Nair",,Umminithanka (1961),,V Dakshinamoorthy,,PK Sathyapal,"P Ganesh, P Subramaniam",,"V Dakshinamoorthy, S Janaki, P Leela, ML Vasanthakumari, Punitha",,1961-04-14,Jagathy NK Achari,"['Kottarakkara Sreedharan Nair', 'Padmini', 'Ragini']"
B Nagarajan,,Modern Theatres,,TM Sundarababu,,,KT Muhammad,TR Sundaram,,Balu,"P Bhaskaran, T Mohammed Yousef",,Kandambecha Kottu (1961),,"MS Baburaj, SM koya",,TR Sundaram,KT Muhammad,,"P Bhaskaran, P Leela, PB Sreenivas, Kamukara, MS Baburaj, Machad Vasanthi, Mehboob, Gomathy Sisters, PNM Alikoya",,1961-02-24,T Mohammed Yousef,"['Kedamangalam Sadanandan', 'TS Muthaiah', 'Ambika Sukumaran', 'Aranmula Ponnamma', 'Bahadoor', 'Chandni (NR Thankam)', 'Kottayam Chellappan', 'Muttathara Soman', 'Nellikkode Bhaskaran', 'Nilamboor Ayisha', 'Omana', 'Pankajavalli', 'Prem Navas', 'SP Pillai', 'Thikkurissi Sukumaran Nair']"
,,Excel Productions,,TN Krishnankutty Nair,,,Sarangapani,M Kunchacko,,,P Bhaskaran,,Krishnakuchela (1961),,K Raghavan,,M Kunchacko,,,"P Susheela, P Leela, PB Sreenivas, K Raghavan, AM Raja, Chellan, Jikki (PG Krishnaveni), KPAC Sulochana, ML Vasanthakumari, Santha P Nair",,1961-11-18,Mythology,"['Mavelikkara L Ponnamma', 'Prem Nazir', 'Sathyan', 'Harikeshan Thampi ', 'TS Muthaiah', 'Ambika Sukumaran', 'KPAC Sulochana', 'BS Saroja', 'Ragini', 'EV Saroja', 'Kanchana (Old)', 'Sukumari']"
,,VSN Productions,,Shailan Bose,,,Thikkurissi Sukumaran Nair,Shri Ramulu Naidu,,G Veluswami,Abhayadev,,Sabarimala Ayyappan (1961),,SM Subbaiah Naidu,,Kuppuswamy,Thikkurissi Sukumaran Nair,,"P Leela, AL Raghavan, AP Komala, Gokulapalan, Guruvayoor Ponnamma, Kottayam Santha, Radha Jayalakshmi, VN Sundaram, Rajam, Thankappan",,1961-03-11,Mythology,"['Kottarakkara Sreedharan Nair', 'Thikkurissi Sukumaran Nair', 'Rajan', 'Harikeshan Thampi ', 'Padmini', 'Ambika Sukumaran', 'Ragini']"
JJ Miranda,,Udaya,,TN Krishnankutty Nair,,,Ponkunnam Varkey,M Kunchacko,Excel Release,,Vayalar,K Velappan,Bhaarya (1962),,G Devarajan,,M Kunchacko,Kanam EJ,,"KJ Yesudas, S Janaki, P Susheela, P Leela, AM Raja, Jikki (PG Krishnaveni), Renuka",,1962-12-20,Kanam EJ,"['Rajasree (Gracy)', 'Ragini', 'Sathyan']"
,,Jaya Maruthi,,Adi M Irani,,,Ponkunnam Varkey,M Krishnan Nair,,MS Mani,Abhayadev,,Viyarppinte Vila (1962),,V Dakshinamoorthy,,TE Vasudevan,,,"KJ Yesudas, V Dakshinamoorthy, P Leela, PB Sreenivas, Renuka, Vinodini",,1962-01-12,TE Vasudevan,"['Ragini', 'Sathyan']"
,,Narayana Cine Productions Pvt Ltd,,ENC Nair,,,KS Antony,KS Antony,,KD George,"P Bhaskaran, Kumaranasan, Nambiyathu, Sreenarayana Guru",,Kaalpaadukal (1962),,MB Sreenivasan,,Nambiyathu,KS Antony,,"KJ Yesudas, S Janaki, P Leela, KP Udayabhanu, Santha P Nair, Kamala Kailas Nathan, Anandavalli",,1962-07-09,KS Antony,"['Sukumari', 'UCK Vadanappilli', 'Thoppil Ravi', 'Thara', 'TK Shanthi', 'Sreedharan', 'Sree Narayana Pillai', 'SN Puram Kunchan', 'Raphael', 'Ragini', 'Ponnara Vijayan', 'Parvathiyamma', 'Paravoor Bharathan', 'Master Shanavas', 'MN Damodaran', 'Kollam Sukumaran', 'Kochappan', 'Kalamandalam Bhanumathi', 'KR Vijaya', 'KC Rajasekharan', 'Nellikkode Bhaskaran', 'Dharmaraj', 'B Krishna', 'Artist Nandan', 'Antony Jose', 'Adoor Pankajam', 'Prem Navas', 'Sivasankaran', 'KP Paul', 'PJ Antony', 'Nambiyathu', 'Prem Nazir', 'Aranmula Ponnamma', 'Vasumathi', 'Johnson', 'Vishnuprasad']"
,,Saravanabhava Pictures,,,,,KT Muhammad,KS Sethumadhavan,Thirumeni Release,,Vayalar,,Kannum Karalum (1962),,MB Sreenivasan,,AK Balasubrahmaniam,,,"KJ Yesudas, S Janaki, P Leela, Latha Raju, Mehboob, Renuka",,1962-09-28,KT Muhammad,"['Ambika Sukumaran', 'Sathyan']"
,,Bhanu Films,,,,,Abhayadev,CS Rao,,,Abhayadev,,Shaanthi Nivas (1962),,Ghantasala,,Sundarlal Nahatha,,,"KJ Yesudas, P Leela, PB Sreenivas, AP Komala, Jikki (PG Krishnaveni), KP Udayabhanu, PK Saraswathi",,In progress,,"['Akkineni Nageswara Rao', 'Krishnakumari']"
,,Neela Productions,,"GK Ramu, M Kannappan",,,Nagavally RS Kurup,GK Ramu,,N Gopalakrishnan,"Thirunayinaarkurichi Madhavan Nair, Thunchathezhuthachan",,Sreerama Pattaabhishekam (1962),,Br Lakshmanan,,P Subramaniam,Nagavally RS Kurup,,"KJ Yesudas, S Janaki, P Susheela, P Leela, PB Sreenivas, Kamukara, AP Komala, Jikki (PG Krishnaveni), Vaidehi",Krishna Ilamon,1962-11-09,Mythology,"['Sukumari', 'TK Balachandran', 'KV Santhi', 'Vasanthi (Old)', 'Prem Nazir', 'Kaviyoor Ponnamma', 'Thikkurissi Sukumaran Nair', 'Prem Navas', 'GK Pillai', 'Miss Kumari', 'Padmini Priyadarshini']"
RBS Mani,,Jaya Maruthi,,U Rajagopal,,,Thoppil Bhasi,MS Mani,Associated Pictures,MS Mani,P Bhaskaran,,Puthiya Aakaasham Puthiya Bhoomi (1962),,MB Sreenivasan,,TE Vasudevan,Thoppil Bhasi,,"KJ Yesudas, P Susheela, P Leela, Jamuna Rani, Kaviyoor CK Revamma, KP Udayabhanu, KS George, Mehboob",,1962-04-14,Thoppil Bhasi,"['Ragini', 'Sathyan']"
,,Lotus Pictures,,PK Madhavan Nair,,,SL Puram Sadanandan,"PA Thomas, S Ramanathan",,,Abhayadev,,Sreekovil (1962),,V Dakshinamoorthy,,N Krishnan,SL Puram Sadanandan,,"KJ Yesudas, P Leela, KP Udayabhanu, Santha P Nair",,1962-04-13,S Ramanathan,"['Kottarakkara Sreedharan Nair', 'Sathyan', 'Thikkurissi Sukumaran Nair', 'PA Thomas', 'Ambika Sukumaran', 'SP Pillai', 'KV Santhi', 'Kanchana (Old)', 'Pandaribhai']"
,,Guruvayoorappan Pictures,,U Rajagopal,,,Muthukulam Raghavan Pilla,SS Rajan,,,"P Bhaskaran, Abhayadev, Muthukulam Raghavan Pilla",,Vidhi Thanna Vilakku (1962),,V Dakshinamoorthy,,,Muthukulam Raghavan Pilla,,"KJ Yesudas, V Dakshinamoorthy, P Susheela, P Leela, PB Sreenivas, AP Komala, Kottayam Santha, Vinodini",,1962-05-10,Muthukulam Raghavan Pilla,"['Ragini', 'Sathyan']"
,,Oriental Movies,,PK Madhavan Nair,,,Jagathy NK Achari,G Viswanath,,,Abhayadev,,Veluthambi Dalawa (1962),,"V Dakshinamoorthy, Parthasarathy",,PK Sathyapal,Jagathy NK Achari,,"KJ Yesudas, P Leela, AP Komala, K Rani, KP Udayabhanu, Santha P Nair, TS Kumaresh",,1962-02-23,Jagathy NK Achari,"['Ragini', 'Kottarakkara Sreedharan Nair']"
PN Menon,MB Sreenivasan,Kerala Pictures,,DV Rajaram,,,Jagathy NK Achari,P Bhaskaran,,Kripa Sankar,P Bhaskaran,,Laila Majnu (1962),,MS Baburaj,,"P Bhaskaran, BN Kondareddy",,,"P Leela, AP Komala, Gomathy, KP Udayabhanu, KS George, Mehboob, Santha P Nair",,1962-09-02,Nisami,"['L Vijayalakshmi ', 'Prem Nazir']"
,,,,DV Rajaram,,,Jagathy NK Achari,P Bhaskaran,,TT Kripasankar,"P Bhaskaran, Irayimman Thampi, Thyagaraja",,Bhaagyajaathakam (1962),,"MS Baburaj, Irayimman Thampi, Thyagaraja",,"P Bhaskaran, BN Kondareddy",Jagathy NK Achari,,"KJ Yesudas, P Leela, Jamuna Rani, Kottayam Santha, Mehboob, Peter (Paramasivam), Sudhan",,1962-11-16,P Bhaskaran,"['Sheela', 'Sathyan', 'Sathyan']"
,,Neela Productions,,NS Mani,,,Muttathu Varkey,P Subramaniam,,KD George,P Bhaskaran,,Snehadeepam (1962),,MB Sreenivasan,,P Subramaniam,Muttathu Varkey,,"S Janaki, P Leela, PB Sreenivas, Kamukara, Jamuna Rani, Jikki (PG Krishnaveni), Latha Raju, Peter (Paramasivam), Renuka",,1962-03-31,Neela,"['Miss Kumari', 'Kottarakkara Sreedharan Nair', 'Ambika Sukumaran', 'Thikkurissi Sukumaran Nair']"
,,Excel Productions,,TN Krishnankutty Nair,,,Sarangapani,M Kunchacko,Excel Release,S Williams,"Vayalar, Sarangapani",,Paalaattu Koman (Konkiyamma) (1962),,MS Baburaj,,M Kunchacko,Sarangapani,,"KJ Yesudas, P Susheela, P Leela, PB Sreenivas, AM Raja, Jikki (PG Krishnaveni), KP Udayabhanu, KS George, Santha P Nair",,In progress,,"['Ragini', 'Sathyan']"
,,Shanmukha pictures,,Baby,,Thomas,Norbart Pavana,PB Unni,Seetha Films,Baby,P Bhaskaran,,Swargaraajyam (1962),,MB Sreenivasan,,K Sarasa,Norbart Pavana,,"S Janaki, PB Sreenivas, MB Sreenivasan, R Balasaraswathi, KP Udayabhanu, KR Balakrishnan, Santha P Nair",,1962-10-26,Norbart Pavana,"['Ambika Sukumaran', 'KP Ummer']"
MV Kochaappu,,Neela Productions,,NS Mani,,,Nagavally RS Kurup,M Krishnan Nair,,N Gopalakrishnan,Thirunayinaarkurichi Madhavan Nair,,Kaattumaina (1963),,Br Lakshmanan,,P Subramaniam,Nagavally RS Kurup,,"P Susheela, P Leela, Kamukara, KP Udayabhanu, Mehboob, Renuka, Gracy",Krishna Ilamon,1963-08-31,Neela,"['Prem Nazir', 'KV Santhi', 'Anandan', 'Sheela']"
,,Excel Productions,,TN Krishnankutty Nair,,,Ponkunnam Varkey,M Kunchacko,,,Vayalar,K Velappan,Kadalamma (1963),,G Devarajan,,M Kunchacko,Ponkunnam Varkey,,"KJ Yesudas, G Devarajan, S Janaki, P Susheela, P Leela, AM Raja, Chorus, CO Anto, Jikki (PG Krishnaveni), Gracy",,1963-08-31,Ponkunnam Varkey,"['Baby Vinodini (Vinodini Sasimohan)', 'MS Thrippoonithura', 'Kottayam Chellappan', 'Kottarakkara Sreedharan Nair', 'Rajasree (Gracy)', 'KS Gopinath', 'Bahadoor', 'Baby Vilasini', 'Mavelikkara N Ponnamma', 'BS Saroja', 'Adoor Pankajam', 'Boban Kunchacko', 'Sankaradi', 'Manavalan Joseph', 'Sathyan', 'Nellikkode Bhaskaran', 'SP Pillai', 'Sushama (Maya)', 'Sukumari']"
